step,loss
0,1.4739603996276855
50,1.2811522483825684
100,1.100296974182129
150,1.096604824066162
200,1.0526890754699707
250,1.0060945749282837
300,1.0321953296661377
350,0.9973925352096558
400,1.0208091735839844
450,1.0864484310150146
500,0.9773517847061157
550,1.0720974206924438
600,1.0062352418899536
650,1.065948247909546
700,1.0523103475570679
750,1.0237107276916504
800,1.047043800354004
850,1.0421174764633179
900,1.0242104530334473
950,0.9918441772460938
1000,0.9603886008262634
1050,1.0011485815048218
1100,1.0037862062454224
1150,1.0136605501174927
1200,0.9195110201835632
1250,0.984666645526886
1300,1.014465570449829
1350,0.961322546005249
1400,0.9816908836364746
1450,1.0061511993408203
1500,0.9610742330551147
1550,0.9774651527404785
1600,0.9663473963737488
1650,0.9540004730224609
1700,0.9902232885360718
1750,0.9308491945266724
1800,0.978009819984436
1850,0.9416151642799377
1900,0.9460763931274414
1950,0.9502143859863281
2000,0.9818770289421082
2050,0.9492431879043579
2100,0.9503758549690247
2150,0.9515748023986816
2200,0.9476355314254761
2250,0.9700459241867065
2300,1.019043207168579
2350,0.9434316158294678
2400,0.9084608554840088
2450,0.9518759250640869
2500,1.0172475576400757
2550,0.9912807941436768
2600,0.9848742485046387
2650,0.9605979919433594
2700,0.9860693216323853
2750,1.0043667554855347
2800,0.9442700147628784
2850,0.9634203314781189
2900,0.941767156124115
2950,0.94635409116745
3000,0.9532031416893005
3050,0.9562146663665771
3100,1.0137121677398682
3150,0.9764864444732666
3200,0.9442768096923828
3250,0.9748856425285339
3300,0.939059853553772
3350,0.9949021339416504
3400,1.0061856508255005
3450,0.8872490525245667
3500,0.9811006784439087
3550,0.9693140983581543
3600,0.9078055620193481
3650,0.9521410465240479
3700,0.9314563274383545
3750,0.9930117130279541
3800,0.9521138668060303
3850,0.9959526062011719
3900,0.9512251615524292
3950,1.0219875574111938
4000,0.9435352683067322
4050,0.9075257182121277
4100,0.9589205980300903
4150,0.9680734872817993
4200,0.9638824462890625
4250,0.940894365310669
4300,0.9490604400634766
4350,0.9738272428512573
4400,0.932249903678894
4450,0.9556571245193481
4500,0.9376724362373352
4550,0.9464414119720459
4600,0.9617027044296265
4650,0.9152654409408569
4700,0.952481746673584
4750,0.9545661211013794
4800,0.9523806571960449
4850,0.8759868144989014
4900,0.9508380889892578
4950,0.9292293787002563
5000,1.0158268213272095
5050,0.9401959180831909
5100,0.9178805351257324
5150,0.9644434452056885
5200,0.934368908405304
5250,0.9895927906036377
5300,0.9684911370277405
5350,0.9778780341148376
5400,0.9842190742492676
5450,0.9812031984329224
5500,0.9489489793777466
5550,0.9791335463523865
5600,1.0208044052124023
5650,0.9213441610336304
5700,0.9878562688827515
5750,0.9582415819168091
5800,0.9409474730491638
5850,0.9697755575180054
5900,0.9361922740936279
5950,0.9721232056617737
6000,0.9397789835929871
6050,0.9304757118225098
6100,0.979102611541748
6150,0.9626225233078003
6200,0.9645332098007202
6250,0.975920557975769
6300,0.9606884717941284
6350,0.9148209095001221
6400,0.9820289611816406
6450,0.9460251331329346
6500,0.9110689163208008
6550,0.9466807842254639
6600,0.9465463757514954
6650,0.9193525314331055
6700,0.9459131956100464
6750,0.924277663230896
6800,1.0253264904022217
6850,0.9885746240615845
6900,0.9856935143470764
6950,1.0059443712234497
7000,0.9013599157333374
7050,0.9593443274497986
7100,0.9844367504119873
7150,0.9999402165412903
7200,1.018384337425232
7250,0.9642068147659302
7300,1.0135159492492676
7350,0.9791949987411499
7400,0.9412463903427124
7450,0.917759895324707
7500,0.9070951342582703
7550,0.9411064386367798
7600,0.9443750381469727
7650,0.9482766389846802
7700,0.9579273462295532
7750,0.9002751111984253
7800,0.9652431607246399
7850,0.9998040199279785
7900,0.9172794818878174
7950,0.9382120966911316
8000,1.0208452939987183
8050,0.997865617275238
8100,1.0306446552276611
8150,0.9140976667404175
8200,0.9029626846313477
8250,0.9105002880096436
8300,0.9293860197067261
8350,0.9532070755958557
8400,1.0137642621994019
8450,0.9154351353645325
8500,0.9759304523468018
8550,0.9922278523445129
8600,0.995791494846344
8650,0.9994657039642334
8700,0.9269922971725464
8750,0.9902487397193909
8800,0.9384686946868896
8850,0.9290376305580139
8900,0.9285595417022705
8950,0.9862641096115112
9000,0.9389835596084595
9050,0.9876295328140259
9100,0.9296879768371582
9150,0.9531271457672119
9200,0.9931744337081909
9250,0.9389341473579407
9300,0.9190203547477722
9350,0.9381210803985596
9400,1.0067311525344849
9450,0.9617049694061279
9500,0.9865914583206177
9550,0.9180898666381836
9600,0.948278546333313
9650,0.9187242388725281
9700,0.9558204412460327
9750,0.95970219373703
9800,0.9531713128089905
9850,0.9271369576454163
9900,0.930104672908783
9950,0.9433484077453613
10000,0.8443217873573303
10050,0.9923388957977295
